Report ID,Arrest Date,Time,Area ID,Area Name,Reporting District,Age,Sex Code,Descent Code,Charge Group Code,Charge Group Description,Arrest Type Code,Charge,Charge Description,Address,Cross Street
4994952,05/22/2017,1108,16,Foothill,1638,24,M,H,16,Narcotic Drug Laws,F,11358HS,UNLAWFULLY PLANT/CULTIVATE/ETC MARIJUANA,WYNGATE,FOOTHILL
4995148,05/22/2017,1650,16,Foothill,1642,42,M,H,16,Narcotic Drug Laws,F,11361(A)HS,USE MINOR UNDER 14 TRANS/SELL MARIJUANA,10300    KEWEN                        AV,
4996087,05/23/2017,1550,06,Hollywood,0646,18,M,H,16,Narcotic Drug Laws,M,11360(A)2HS,SALE/OFFER TO SELL/TRANSPORT MARIJUANA,6600    HOLLYWOOD                    BL,
4996201,05/23/2017,1950,08,West LA,0851,56,M,W,16,Narcotic Drug Laws,M,11360(A)2HS,SALE/OFFER TO SELL/TRANSPORT MARIJUANA,BUNDY                        DR,OHIO                         AV
4997091,05/24/2017,1940,06,Hollywood,0646,47,M,B,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,6700    HOLLYWOOD                    BL,
4997123,05/24/2017,1830,19,Mission,1994,30,M,O,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,ROSCOE,KESTER
110117604,09/30/2011,1340,01,Central,0145,20,M,H,16,Narcotic Drug Laws,M,11357HS,POSSESSION CANNABIS,BROADWAY,WASHINGTON
110410069,05/28/2011,1700,04,Hollenbeck,0427,20,M,H,,,O,11357BHS,,4200    HUNTINGTON D,
5000228,05/27/2017,2230,10,West Valley,1047,30,M,W,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,5600    GRAVES                       AV,
5001582,05/29/2017,1810,06,Hollywood,0636,23,M,B,16,Narcotic Drug Laws,M,11360(A)2HS,SALE/OFFER TO SELL/TRANSPORT MARIJUANA,CHEROKEE,HOLLYWOOD
5002520,05/30/2017,1545,15,N Hollywood,1513,33,M,H,16,Narcotic Drug Laws,M,11357(B)2HS,POSS MARIJUANA OR CONCENTRATED CANNABIS,RAYMER                       AV,WHITSETT                     ST
5002776,05/30/2017,2200,13,Newton,1331,64,M,B,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,S  MAIN                         ST,E  29TH                         ST
5003051,05/31/2017,0600,14,Pacific,1494,29,F,B,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,100    WORLD WAY                    WY,
5004795,06/01/2017,1830,13,Newton,1375,32,M,B,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,53RD,HOOPER
5004870,06/01/2017,1830,13,Newton,1375,32,M,B,16,Narcotic Drug Laws,F,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,53RD,HOOPER
5006571,06/03/2017,1630,18,Southeast,1832,48,M,B,16,Narcotic Drug Laws,M,11360(B)HS,GIVE/TRANSPORT/ETC < 28.5 GRAMS MARIJUANA,10600 S  SPRING                       ST,
5006678,06/03/2017,2355,06,Hollywood,0659,24,M,B,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,FOUNTAIN,SERRANO
5007044,06/04/2017,0630,16,Foothill,1663,17,M,W,16,Narcotic Drug Laws,F,11359HS,POSSESSION MARIJUANA FOR SALE,9400    SAN FERNANDO                 RD,
5007329,06/04/2017,1500,13,Newton,1377,31,M,W,16,Narcotic Drug Laws,M,11358(C)HS,CULTIVATING <6 MARIJUANA PLANTS,5400    DUARTE                       ST,
